date,open,high,low,close
4/14/23,6.8598,6.8748,6.8318,6.872
4/13/23,6.8721,6.8795,6.8675,6.868
4/12/23,6.89,6.8908,6.8702,6.8721
4/11/23,6.888,6.8925,6.8822,6.8855
4/10/23,6.8813,6.8881,6.8718,6.8835
4/7/23,6.8792,6.8792,6.865,6.865
4/6/23,6.8845,6.8845,6.8701,6.8701
4/5/23,6.88,6.88,6.878,6.878
4/4/23,6.88,6.8865,6.8751,6.8799
4/3/23,6.881,6.8945,6.8733,6.877
3/31/23,6.852,6.8877,6.8437,6.8745
3/30/23,6.8975,6.907,6.8695,6.871
3/29/23,6.8773,6.8933,6.8751,6.8866
3/28/23,6.8735,6.8883,6.8712,6.8755
3/27/23,6.8741,6.8925,6.8675,6.8795
3/24/23,6.8367,6.8844,6.8366,6.8679
3/23/23,6.8524,6.8582,6.816,6.8286
3/22/23,6.8746,6.8934,6.8575,6.858
3/21/23,6.8799,6.8871,6.8688,6.8788
3/20/23,6.875,6.9033,6.875,6.8785
3/17/23,6.8921,6.8968,6.861,6.8883
3/16/23,6.891,6.9117,6.8901,6.8998
3/15/23,6.882,6.91,6.868,6.9067
3/14/23,6.8636,6.8854,6.8537,6.8795
3/13/23,6.91,6.9189,6.8345,6.8475
3/10/23,6.9667,6.9725,6.9,6.9195
3/9/23,6.9639,6.9743,6.9555,6.963
3/8/23,6.9725,6.9775,6.944,6.9565
3/7/23,6.9419,6.9726,6.923,6.9726
3/6/23,6.908,6.9395,6.9042,6.9335
3/3/23,6.8969,6.9144,6.888,6.9035
3/2/23,6.8831,6.9205,6.876,6.9193
3/1/23,6.935,6.935,6.86,6.8729
2/28/23,6.9515,6.9515,6.9302,6.9335
2/27/23,6.958,6.9739,6.94,6.9433
2/24/23,6.9138,6.963,6.9108,6.963
2/23/23,6.8966,6.9196,6.8795,6.9088
2/22/23,6.8792,6.8999,6.8792,6.89
2/21/23,6.8605,6.887,6.8605,6.887
2/20/23,6.865,6.8729,6.8486,6.8563
2/17/23,6.8649,6.885,6.8649,6.8661
2/16/23,6.849,6.867,6.8427,6.855
2/15/23,6.824,6.8575,6.8228,6.8515
2/14/23,6.815,6.8309,6.8071,6.8309
2/13/23,6.831,6.8344,6.819,6.819
2/10/23,6.7885,6.8158,6.7866,6.8158
2/9/23,6.7895,6.793,6.772,6.7782
2/8/23,6.7787,6.794,6.771,6.794
2/7/23,6.7768,6.7928,6.774,6.787
2/6/23,6.807,6.8074,6.7703,6.7988
2/3/23,6.7398,6.8002,6.7357,6.8002
2/2/23,6.7061,6.736,6.7055,6.7357
2/1/23,6.75,6.7525,6.7385,6.7435
1/31/23,6.754,6.7616,6.7481,6.7531
1/30/23,6.7491,6.7825,6.7435,6.749
1/27/23,6.785,6.785,6.7825,6.7825
1/25/23,6.7845,6.7845,6.7825,6.7825
1/23/23,6.7845,6.7845,6.7845,6.7845
1/20/23,6.765,6.7955,6.7642,6.7955
1/19/23,6.7656,6.7906,6.7656,6.7793
1/18/23,6.779,6.7888,6.7406,6.762
1/17/23,6.735,6.785,6.7322,6.7689
1/16/23,6.695,6.7388,6.6905,6.738
1/13/23,6.722,6.7377,6.7,6.7
1/12/23,6.759,6.7634,6.7256,6.726
1/11/23,6.7831,6.788,6.7622,6.765
1/10/23,6.762,6.7904,6.752,6.778
1/9/23,6.815,6.815,6.759,6.7705
1/6/23,6.877,6.878,6.833,6.834
1/5/23,6.8841,6.889,6.8676,6.8784
1/4/23,6.903,6.9069,6.877,6.887
1/3/23,6.9127,6.9232,6.8755,6.9069
1/2/23,6.8985,6.8985,6.8985,6.8985
12/30/22,6.9588,6.961,6.8923,6.8972
12/29/22,6.98,6.98,6.9606,6.9625
12/28/22,6.9602,6.9774,6.9602,6.9774
12/27/22,6.962,6.9675,6.9481,6.96
12/26/22,6.9896,6.9897,6.961,6.961
12/23/22,6.9968,6.9975,6.9807,6.988
12/22/22,6.9705,6.984,6.9705,6.9834
12/21/22,6.9646,6.9833,6.9638,6.9815
12/20/22,6.979,6.988,6.959,6.9605
12/19/22,6.983,6.9844,6.9693,6.9777
12/16/22,6.9809,6.9845,6.9618,6.9713
12/15/22,6.9466,6.978,6.9466,6.9721
12/14/22,6.9515,6.963,6.9393,6.9503
12/13/22,6.9863,6.9885,6.9435,6.9435
12/12/22,6.981,6.9882,6.9564,6.9778
12/9/22,6.95,6.9625,6.9425,6.9564
12/8/22,6.9715,6.9821,6.9642,6.9654
12/7/22,6.9893,6.9945,6.9707,6.9707
12/6/22,6.9592,6.9999,6.9553,6.9935
12/5/22,6.974,6.9848,6.9443,6.961
12/2/22,7.049,7.0645,7.0188,7.0195
12/1/22,7.0425,7.0884,7.042,7.0429
11/30/22,7.1551,7.1555,7.0666,7.0879
11/29/22,7.2079,7.2079,7.1534,7.1573
11/28/22,7.2275,7.2387,7.189,7.2079
11/25/22,7.1628,7.18,7.1472,7.1642
11/24/22,7.1478,7.1528,7.1328,7.15
11/23/22,7.1407,7.17,7.1392,7.1585
11/22/22,7.1571,7.1655,7.1306,7.1388
11/21/22,7.1501,7.1691,7.1499,7.164
11/18/22,7.1392,7.1553,7.1088,7.1197
11/17/22,7.092,7.1628,7.092,7.1551
11/16/22,7.0549,7.0871,7.0549,7.0854
11/15/22,7.0447,7.061,7.0241,7.0445
11/14/22,7.0808,7.0818,7.0245,7.072
11/11/22,7.185,7.1886,7.0882,7.1066
11/10/22,7.2517,7.2727,7.181,7.184
11/9/22,7.233,7.2557,7.233,7.2401
11/8/22,7.2225,7.263,7.219,7.2485
11/7/22,7.2152,7.25,7.204,7.2266
11/4/22,7.31,7.31,7.176,7.1831
11/3/22,7.2875,7.3213,7.2875,7.3005
11/2/22,7.2777,7.289,7.2648,7.289
11/1/22,7.3212,7.3275,7.253,7.273
10/31/22,7.2625,7.303,7.2504,7.3015
10/28/22,7.2338,7.2607,7.2173,7.2499
10/27/22,7.1626,7.237,7.1624,7.2244
10/26/22,7.2875,7.2994,7.1644,7.171
10/25/22,7.2946,7.3095,7.2601,7.2693
10/24/22,7.2515,7.2634,7.2504,7.2629
10/21/22,7.2353,7.2499,7.22,7.2244
10/20/22,7.229,7.2438,7.2114,7.2134
10/19/22,7.2014,7.2302,7.198,7.2285
10/18/22,7.1906,7.2006,7.1879,7.2006
10/17/22,7.1806,7.2056,7.179,7.1951
10/14/22,7.1771,7.2,7.1596,7.1925
10/13/22,7.165,7.2229,7.165,7.1705
10/12/22,7.1712,7.1909,7.1561,7.1725
10/11/22,7.1447,7.1948,7.142,7.167
10/10/22,7.11,7.1562,7.108,7.1554
10/7/22,7.114,7.114,7.114,7.114
10/6/22,7.1159,7.1159,7.114,7.114
10/5/22,7.116,7.116,7.114,7.114
10/4/22,7.114,7.1167,7.114,7.114
10/3/22,7.114,7.114,7.114,7.114
9/30/22,7.1045,7.1344,7.0823,7.114
9/29/22,7.1545,7.211,7.1201,7.1201
9/28/22,7.183,7.2507,7.183,7.1995
9/27/22,7.1543,7.1784,7.1472,7.1765
9/26/22,7.14,7.1684,7.1316,7.1339
9/23/22,7.089,7.1298,7.089,7.1271
9/22/22,7.0878,7.095,7.0597,7.0693
9/21/22,7.0353,7.054,7.0323,7.0496
9/20/22,7.0115,7.0213,7.0046,7.0183
9/19/22,6.9994,7.0205,6.9994,7.0054
9/16/22,7.0044,7.0254,6.9804,6.9804
9/15/22,6.9661,6.9966,6.9609,6.9936
9/14/22,6.9688,6.9731,6.957,6.9617
9/13/22,6.9174,6.9326,6.9174,6.925
9/9/22,6.9467,6.9513,6.9172,6.9256
9/8/22,6.9562,6.9691,6.9482,6.9575
9/7/22,6.9625,6.9803,6.9625,6.9662
9/6/22,6.9352,6.9653,6.9301,6.9537
9/5/22,6.9185,6.9435,6.9185,6.934
9/2/22,6.9062,6.9092,6.8996,6.9003
9/1/22,6.9061,6.9082,6.8933,6.907
8/31/22,6.9115,6.9155,6.887,6.8887
8/30/22,6.907,6.9214,6.8982,6.9106
8/29/22,6.8977,6.9223,6.8977,6.908
8/26/22,6.8474,6.8728,6.8474,6.8717
8/25/22,6.8479,6.8572,6.8425,6.8482
8/24/22,6.8444,6.8694,6.8425,6.8595
8/23/22,6.8435,6.866,6.8296,6.8341
8/22/22,6.826,6.8507,6.8212,6.8486
8/19/22,6.801,6.8187,6.801,6.8169
8/18/22,6.7767,6.7965,6.7767,6.7861
8/17/22,6.7825,6.7867,6.7688,6.7809
