date,open,high,low,close
4/14/23,0.9047,0.9111,0.9027,0.9093
4/13/23,0.9096,0.9105,0.9033,0.905
4/12/23,0.9159,0.9161,0.9086,0.9094
4/11/23,0.9203,0.9205,0.9149,0.9161
4/10/23,0.9165,0.9229,0.9155,0.9205
4/7/23,0.9154,0.9188,0.915,0.9168
4/6/23,0.9166,0.9184,0.9138,0.9156
4/5/23,0.9125,0.9178,0.9113,0.9164
4/4/23,0.917,0.9185,0.9112,0.9125
4/3/23,0.9221,0.9267,0.9162,0.917
3/31/23,0.9168,0.9225,0.915,0.9219
3/30/23,0.9219,0.9234,0.9152,0.9169
3/29/23,0.9219,0.9241,0.9197,0.922
3/28/23,0.9258,0.9259,0.9214,0.9221
3/27/23,0.9284,0.9304,0.9253,0.9259
3/24/23,0.9229,0.9327,0.9223,0.929
3/23/23,0.9206,0.9233,0.9148,0.9228
3/22/23,0.9284,0.9292,0.9168,0.9206
3/21/23,0.9323,0.934,0.9269,0.9284
3/20/23,0.9358,0.9402,0.9317,0.9325
3/17/23,0.9419,0.9422,0.9357,0.9371
3/16/23,0.945,0.9471,0.9401,0.9419
3/15/23,0.9315,0.9504,0.9292,0.945
3/14/23,0.9319,0.9361,0.9301,0.9317
3/13/23,0.9348,0.9385,0.9301,0.9319
3/10/23,0.9449,0.9454,0.9345,0.9396
3/9/23,0.9478,0.9486,0.9439,0.9447
3/8/23,0.9483,0.9498,0.9456,0.9482
3/7/23,0.9365,0.9479,0.9349,0.9477
3/6/23,0.9407,0.9411,0.9348,0.9359
3/3/23,0.9433,0.944,0.9396,0.94
3/2/23,0.9373,0.9452,0.9366,0.9434
3/1/23,0.945,0.9462,0.9349,0.937
2/28/23,0.9423,0.9454,0.9392,0.9453
2/27/23,0.9478,0.9491,0.9414,0.9423
2/24/23,0.9437,0.9488,0.9419,0.9481
2/23/23,0.9426,0.945,0.9407,0.9437
2/22/23,0.9383,0.9432,0.9374,0.9426
2/21/23,0.9355,0.9397,0.9346,0.939
2/20/23,0.9354,0.9368,0.9339,0.9353
2/17/23,0.9366,0.9419,0.9344,0.9349
2/16/23,0.9352,0.9383,0.9324,0.9367
2/15/23,0.9309,0.9376,0.9303,0.9352
2/14/23,0.9322,0.9333,0.9261,0.9312
2/13/23,0.9356,0.9381,0.9316,0.9321
2/10/23,0.9313,0.9372,0.9299,0.9364
2/9/23,0.9334,0.9334,0.9264,0.931
2/8/23,0.9321,0.9335,0.929,0.9328
2/7/23,0.9318,0.937,0.9289,0.9319
2/6/23,0.9271,0.9335,0.9256,0.932
2/3/23,0.9166,0.9263,0.9138,0.926
2/2/23,0.9101,0.9181,0.9063,0.916
2/1/23,0.9206,0.9212,0.9089,0.9098
1/31/23,0.9213,0.9252,0.9191,0.9204
1/30/23,0.9198,0.9223,0.916,0.9213
1/27/23,0.9176,0.9224,0.9169,0.9198
1/26/23,0.9157,0.9213,0.9146,0.9179
1/25/23,0.9183,0.9207,0.915,0.9159
1/24/23,0.92,0.9226,0.9172,0.9182
1/23/23,0.9197,0.9216,0.9155,0.9196
1/20/23,0.9227,0.9254,0.9205,0.9209
1/19/23,0.9267,0.9271,0.9223,0.9232
1/18/23,0.9266,0.9285,0.9186,0.9262
1/17/23,0.9237,0.9278,0.9198,0.9267
1/16/23,0.9229,0.9255,0.9192,0.9237
1/13/23,0.9214,0.9269,0.9199,0.923
1/12/23,0.9293,0.9306,0.92,0.921
1/11/23,0.9313,0.932,0.9278,0.9295
1/10/23,0.9317,0.9332,0.9293,0.9311
1/9/23,0.9393,0.9397,0.929,0.9315
1/6/23,0.9501,0.9536,0.9387,0.9392
1/5/23,0.9427,0.9507,0.9403,0.9501
1/4/23,0.9473,0.9484,0.9403,0.9428
1/3/23,0.9376,0.9503,0.9358,0.9479
1/2/23,0.9351,0.9386,0.9335,0.9374
12/30/22,0.9376,0.9396,0.9332,0.9339
12/29/22,0.9421,0.9423,0.9349,0.9377
12/28/22,0.9394,0.9425,0.9366,0.9417
12/27/22,0.9402,0.9421,0.9371,0.9393
12/26/22,0.9419,0.9431,0.9397,0.9402
12/23/22,0.9436,0.9442,0.9403,0.9417
12/22/22,0.9425,0.9454,0.9378,0.9433
12/21/22,0.9408,0.9439,0.9392,0.9428
12/20/22,0.9425,0.945,0.9381,0.941
12/19/22,0.9443,0.9452,0.9381,0.9425
12/16/22,0.9408,0.9445,0.9376,0.9444
12/15/22,0.9355,0.9437,0.9318,0.9408
12/14/22,0.9403,0.9413,0.9348,0.9359
12/13/22,0.949,0.9495,0.9372,0.9402
12/12/22,0.9501,0.9515,0.9451,0.9487
12/9/22,0.947,0.9509,0.9443,0.9491
12/8/22,0.9512,0.953,0.9464,0.9472
12/7/22,0.9556,0.9572,0.948,0.9515
12/6/22,0.9539,0.9558,0.9492,0.955
12/5/22,0.9493,0.9539,0.9437,0.9528
12/2/22,0.9501,0.9583,0.9481,0.9484
12/1/22,0.9605,0.9617,0.9493,0.9499
11/30/22,0.9679,0.9713,0.9587,0.9605
11/29/22,0.9669,0.9685,0.9616,0.9682
11/28/22,0.9638,0.9676,0.9524,0.9668
11/25/22,0.9606,0.9654,0.9585,0.961
11/24/22,0.9617,0.9628,0.9569,0.9598
11/23/22,0.9705,0.9708,0.9609,0.9617
11/22/22,0.976,0.9764,0.9697,0.9704
11/21/22,0.9682,0.9779,0.9671,0.9763
11/18/22,0.9648,0.9693,0.9619,0.9682
11/17/22,0.9619,0.9701,0.961,0.9645
11/16/22,0.9666,0.9673,0.958,0.9618
11/15/22,0.9679,0.9722,0.9548,0.9662
11/14/22,0.9671,0.9732,0.9652,0.968
11/11/22,0.9793,0.9834,0.9646,0.9655
11/10/22,0.9985,1.0061,0.9781,0.9792
11/9/22,0.9926,1.0003,0.991,0.9983
11/8/22,0.9974,1.0022,0.9901,0.9925
11/7/22,1.0091,1.0092,0.9964,0.9976
11/4/22,1.0254,1.0261,1.0031,1.0039
11/3/22,1.0184,1.0273,1.016,1.0252
11/2/22,1.0121,1.0188,1.0025,1.0181
11/1/22,1.0117,1.0145,1.0048,1.0123
10/31/22,1.0041,1.0126,1.0029,1.0116
10/28/22,1.0031,1.0071,1,1.0034
10/27/22,0.992,1.0038,0.9904,1.0031
10/26/22,1.0034,1.0053,0.991,0.9917
10/25/22,1.0126,1.0148,1.0021,1.003
10/24/22,1.0111,1.0194,1.0101,1.0126
10/21/22,1.0216,1.03,1.0131,1.014
10/20/22,1.023,1.0248,1.0152,1.0215
10/19/22,1.0138,1.0246,1.0128,1.0229
10/18/22,1.0156,1.0187,1.0126,1.0138
10/17/22,1.028,1.0281,1.0148,1.0159
10/14/22,1.0224,1.0296,1.0195,1.0284
10/13/22,1.0299,1.0377,1.0195,1.0222
10/12/22,1.0299,1.0339,1.0274,1.0298
10/11/22,1.0304,1.0334,1.0229,1.0302
10/10/22,1.0268,1.0324,1.0252,1.0302
10/7/22,1.0209,1.0274,1.0185,1.0264
10/6/22,1.011,1.0216,1.007,1.0209
10/5/22,1.0014,1.0164,1.0004,1.0111
10/4/22,1.0175,1.0195,0.9999,1.0014
10/3/22,1.0207,1.0251,1.0156,1.0178
9/30/22,1.0185,1.0269,1.0147,1.0203
9/29/22,1.0269,1.0373,1.0178,1.0183
9/28/22,1.0415,1.0481,1.0253,1.027
9/27/22,1.0401,1.0445,1.0342,1.0419
9/26/22,1.0326,1.0466,1.0298,1.0405
9/23/22,1.0166,1.0341,1.0146,1.0322
9/22/22,1.0154,1.0191,1.0094,1.0165
9/21/22,1.0028,1.0186,1.0022,1.016
9/20/22,0.9969,1.0038,0.9946,1.0027
9/19/22,0.9982,1.0031,0.9968,0.9973
9/16/22,1.0001,1.0051,0.9961,0.9982
9/15/22,1.0017,1.004,0.998,1
9/14/22,1.0032,1.0041,0.9974,1.0017
9/13/22,0.9878,1.0033,0.9815,1.0032
9/12/22,0.9908,0.9937,0.9804,0.9879
9/9/22,1.0001,1.0001,0.9887,0.9954
9/8/22,0.9989,1.0066,0.9966,1
9/7/22,1.0095,1.0122,0.9983,0.9989
9/6/22,1.0066,1.013,1.0012,1.0094
9/5/22,1.0075,1.0119,1.0056,1.0065
9/2/22,1.005,1.0055,0.9962,1.0044
9/1/22,0.9945,1.0086,0.9943,1.0051
8/31/22,0.9976,1.0025,0.992,0.9946
8/30/22,0.9998,1.0015,0.9946,0.9981
8/29/22,1.0041,1.0084,0.9971,0.9997
8/26/22,1.0021,1.0048,0.9914,1.0025
8/25/22,1.0029,1.0046,0.9964,1.002
8/24/22,1.0027,1.0087,1.0002,1.0029
8/23/22,1.0055,1.0095,0.9982,1.0029
8/22/22,0.9959,1.0072,0.9951,1.0053
8/19/22,0.991,0.9965,0.9903,0.9956
8/18/22,0.9821,0.9917,0.9807,0.991
8/17/22,0.9832,0.9854,0.98,0.9823
8/16/22,0.9841,0.9876,0.9806,0.9829
8/15/22,0.9746,0.9845,0.9736,0.9837
8/12/22,0.9687,0.9764,0.9678,0.9749
8/11/22,0.9706,0.9729,0.9645,0.9684
8/10/22,0.9788,0.9799,0.9643,0.9706
8/9/22,0.9808,0.9812,0.9755,0.9789
8/8/22,0.9824,0.984,0.978,0.9808
