date,open,high,low,close
4/14/23,132.482,133.837,132.16,133.745
4/13/23,133.114,133.394,132.01,132.551
4/12/23,133.636,134.047,132.73,133.114
4/11/23,133.572,133.806,132.96,133.644
4/10/23,132.124,133.879,131.82,133.59
4/7/23,131.695,132.379,131.5,132.137
4/6/23,131.225,131.905,130.77,131.7
4/5/23,131.717,131.844,130.611,131.231
4/4/23,132.401,133.169,131.518,131.718
4/3/23,133.255,133.755,132.197,132.4
3/31/23,132.665,133.594,132.57,132.797
3/30/23,132.718,132.966,132.18,132.649
3/29/23,130.843,132.89,130.73,132.717
3/28/23,131.533,131.564,130.38,130.834
3/27/23,130.568,131.76,130.47,131.534
3/24/23,130.811,130.939,129.61,130.701
3/23/23,131.357,131.663,130.29,130.804
3/22/23,132.433,133.002,130.97,131.38
3/21/23,131.3,132.631,131.01,132.43
3/20/23,131.821,132.65,130.534,131.28
3/17/23,133.574,133.662,131.53,131.803
3/16/23,133.333,133.827,131.7,133.55
3/15/23,134.246,135.113,132.19,133.329
3/14/23,133.196,134.901,133,134.252
3/13/23,133.891,135.052,132.26,133.196
3/10/23,136.136,136.994,134.11,134.962
3/9/23,137.358,137.358,135.936,136.132
3/8/23,137.15,137.91,136.473,137.358
3/7/23,135.891,137.2,135.537,137.149
3/6/23,135.973,136.19,135.362,135.905
3/3/23,136.752,136.78,135.71,135.831
3/2/23,136.143,137.1,136,136.755
3/1/23,136.164,136.47,135.23,136.182
2/28/23,136.18,136.917,135.71,136.172
2/27/23,136.413,136.554,135.89,136.166
2/24/23,134.692,136.519,134.041,136.406
2/23/23,134.888,135.364,134.481,134.7
2/22/23,135,135.061,134.36,134.861
2/21/23,134.209,135.228,134.142,134.993
2/20/23,134.214,134.538,133.918,134.23
2/17/23,133.936,135.116,133.906,134.114
2/16/23,134.125,134.464,133.58,133.932
2/15/23,133.108,134.359,132.52,134.137
2/14/23,132.41,133.315,131.499,133.158
2/13/23,131.281,132.91,131.207,132.4
2/10/23,131.58,131.888,129.798,131.347
2/9/23,131.38,131.824,130.32,131.58
2/8/23,131.05,131.538,130.57,131.399
2/7/23,132.656,132.706,130.46,131.056
2/6/23,132.464,132.902,131.49,132.634
2/3/23,128.65,131.202,128.3,131.156
2/2/23,128.96,129.133,128.06,128.668
2/1/23,130.07,130.411,128.52,128.923
1/31/23,130.405,130.53,129.73,130.09
1/30/23,129.708,130.569,129.18,130.405
1/27/23,130.176,130.268,129.47,129.804
1/26/23,129.547,130.618,129,130.209
1/25/23,130.162,130.583,129.24,129.565
1/24/23,130.659,131.116,129.7,130.162
1/23/23,129.459,130.887,129.02,130.66
1/20/23,128.406,130.611,128.331,129.464
1/19/23,128.884,128.911,127.75,128.412
1/18/23,128.119,131.577,127.56,128.887
1/17/23,128.588,129.155,127.986,128.1
1/16/23,127.807,128.863,127.217,128.57
1/13/23,129.238,129.43,127.43,127.853
1/12/23,132.456,132.51,128.85,129.27
1/11/23,132.248,132.872,132.04,132.468
1/10/23,131.873,132.478,131.37,132.25
1/9/23,131.943,132.654,131.28,131.874
1/6/23,133.4,134.773,131.97,132.03
1/5/23,132.611,134.054,131.674,133.401
1/4/23,130.991,132.717,129.9,132.603
1/3/23,130.735,131.403,129.487,131.014
1/2/23,130.925,131.041,130.598,130.79
12/30/22,133.01,133.09,130.75,131.072
12/29/22,134.451,134.457,132.85,133.011
12/28/22,133.479,134.5,133.327,134.47
12/27/22,132.85,133.596,132.59,133.477
12/26/22,132.753,133.233,132.276,132.83
12/23/22,132.302,133.142,132.128,132.872
12/22/22,132.426,132.722,131.61,132.302
12/21/22,131.728,132.53,131.48,132.46
12/20/22,136.902,137.473,130.55,131.73
12/19/22,135.973,137.161,135.73,136.9
12/16/22,137.77,137.889,136.26,136.679
12/15/22,135.461,138.175,135.21,137.769
12/14/22,135.59,135.992,134.502,135.453
12/13/22,137.659,137.971,134.63,135.559
12/12/22,136.477,137.85,136.457,137.657
12/9/22,136.652,136.911,135.58,136.578
12/8/22,136.59,137.247,136.22,136.654
12/7/22,137.025,137.856,136.19,136.576
12/6/22,136.76,137.428,135.94,137.043
12/5/22,134.514,136.859,134.09,136.762
12/2/22,135.245,135.984,133.61,134.271
12/1/22,138.112,138.112,135.176,135.25
11/30/22,138.581,139.894,137.616,138.05
11/29/22,138.928,139.353,137.834,138.588
11/28/22,139.224,139.428,137.463,138.92
11/25/22,138.577,139.595,138.349,139.11
11/24/22,139.555,139.635,138.03,138.48
11/23/22,141.181,141.614,139.135,139.593
11/22/22,142.11,142.241,141.05,141.24
11/21/22,140.23,142.252,140.121,142.125
11/18/22,140.189,140.499,139.597,140.341
11/17/22,139.486,140.742,138.85,140.189
11/16/22,139.254,140.291,138.7,139.482
11/15/22,139.883,140.625,137.657,139.25
11/14/22,139.163,140.8,138.78,139.883
11/11/22,140.955,142.481,138.431,138.762
11/10/22,146.471,146.59,140.17,140.955
11/9/22,145.666,146.795,145.15,146.451
11/8/22,146.666,146.935,145.271,145.677
11/7/22,147.202,147.568,146.056,146.634
11/4/22,148.167,148.403,146.516,146.654
11/3/22,147.77,148.45,147.074,148.154
11/2/22,148.224,148.383,145.64,147.771
11/1/22,148.757,148.826,146.952,148.225
10/31/22,147.759,148.849,147.52,148.714
10/28/22,146.277,147.867,145.963,147.42
10/27/22,146.385,146.937,145.08,146.296
10/26/22,148.069,148.413,146.187,146.38
10/25/22,149.024,149.099,147.49,148.078
10/24/22,148.089,149.71,145.46,149.02
